District_ID,Distance_to_Path_km,Predicted_Wind_kt,Vulnerability_Index,Risk_Zone,Estimated_Damage_M
46,56.65768195870232,119.80327469405206,96.62518822795046,Red,1156.069
47,127.29746086184258,31.003784750445377,16.037380985564777,Yellow,52.84072
48,199.17268882666022,108.19086142754331,11.386279509822744,Yellow,118.3067
49,50.38653564693219,42.515861689821776,59.29195356807736,Yellow,238.88795
50,112.28203634559041,30.459895542102217,12.782989679943837,Yellow,44.97391
51,91.37245426769704,71.6727722052381,39.591818162322596,Yellow,277.6713
52,206.19051388452075,38.31577893879678,92.1230044456584,Yellow,359.51675
53,192.51529990756768,93.53823128162898,69.440480043586,Yellow,634.06854
54,153.96599623907454,91.36319245866164,70.12564943777069,Yellow,625.92865
55,293.4889955116928,114.35018777663022,93.36804972946742,Yellow,1071.6227
56,159.82455753634719,73.09845276861753,27.790490342508516,Yellow,204.82214
57,66.9015226975273,89.71987802721844,24.67487979310327,Yellow,207.33212
58,71.16761724118524,52.80217038178689,22.54087105013737,Yellow,121.196495
59,170.3931803479141,136.85567584787006,19.159166043942285,Yellow,267.9927
60,81.86991041997913,119.96046861297432,92.59877545735421,Orange,1107.8512
61,124.59434995080139,109.48572413980683,67.93388497248213,Orange,754.0499
62,38.78385726614134,52.320070801712816,47.26258360086381,Yellow,251.21887
63,159.35884584091949,74.99094543626853,80.71751278594954,Yellow,585.4894
64,170.37715207702811,38.799836553863656,63.98023906806472,Yellow,297.66602
65,157.8808430825279,130.3553061413671,49.95132004755137,Yellow,650.2213
66,214.5490915770576,82.92672222808457,71.95517508424206,Yellow,605.0636
67,111.7951365780242,140.9038322086759,24.17405291652662,Orange,299.9195
68,92.88363897460518,59.04211276808704,47.29385185768782,Yellow,267.64307
69,98.87838798239156,103.92194531921892,35.06527549022337,Yellow,364.71063
70,254.1185048078043,104.89036935278403,90.35897558622388,Yellow,961.7002
71,59.98813560886692,125.58941305427778,79.23084090049588,Red,987.06006
72,56.02278639791165,85.98180265907634,24.507728995644054,Orange,173.53471
73,57.06999335817474,96.69556962723777,29.793623446266523,Orange,285.05188
74,104.74485886059259,86.05995785662347,46.46093487267467,Yellow,397.0819
75,250.73557836370304,134.96573625381254,65.26786402528018,Yellow,873.4214
76,222.8587801407462,48.122611513047985,79.05606514886564,Yellow,378.54202
77,252.70876252220222,137.08238559138906,46.47438471022411,Yellow,663.3188
78,11.558847397051508,142.96904889380528,72.67749711209022,Red,1038.8132
79,282.88398382741815,113.91353230095278,58.22673359375172,Yellow,660.74786
80,245.94285584421075,98.45969677942877,55.64861308125222,Yellow,544.6042
81,219.8644201324331,76.69427570079858,33.21437487105289,Yellow,242.13995
82,228.0068268441269,58.774366490385226,50.08288040980214,Yellow,283.68655
83,165.30505574461486,111.2111570462051,82.42338579562383,Yellow,910.1308
84,163.55113691881334,75.7715140390358,74.12183186554525,Yellow,560.5311
85,132.58331571885384,136.1067029436691,70.50897745104032,Orange,960.19934
86,20.366570584694173,109.24050981409518,87.07790913664483,Red,946.53186
87,253.86270472077416,43.6836867043087,59.394819257484,Yellow,257.35718
88,77.19890855992331,125.63473348461567,25.954970184181782,Orange,316.96765
89,28.096843372763065,65.1624056160498,44.01604498247897,Orange,258.7563
90,119.11219302607923,139.27849763667462,26.295865230008797,Orange,370.27612
91,12.095412045805553,140.69688869901643,48.17670954129851,Red,678.801
92,31.020546711660607,81.45937460670348,37.35472033344575,Orange,302.94882
93,107.67476665042813,132.71256032251648,26.79800016542079,Orange,359.27423
94,216.5716063541301,121.00258323294855,67.0601335431866,Yellow,813.5909
95,91.18507994229391,98.55076088450137,98.53007671898618,Orange,1039.4674
96,55.23786582560236,44.32120237754294,72.84610982206786,Yellow,325.6397
97,49.20223369247304,47.21011981727247,22.966490701775474,Yellow,108.49731
98,171.94396175813532,33.39751746750341,58.72558611364854,Yellow,200.20059
99,183.2448316642697,50.901006363894,23.298774760474892,Yellow,111.88825
100,60.75092442047699,133.99265983224115,75.27471135975954,Red,998.37256
